"name","option","category","confidence","estimate"
"Christopher Felix","option_1","category_1",100,0.09
"Christopher Felix","option_1","category_2",100,0.21
"Christopher Felix","option_1","category_3",100,0.11
"Christopher Felix","option_1","category_4",100,0.59
"Christopher Felix","option_1","category_5",100,0
"Christopher Felix","option_2","category_1",20,0.09
"Christopher Felix","option_2","category_2",20,0.05
"Christopher Felix","option_2","category_3",20,0.33
"Christopher Felix","option_2","category_4",20,0.24
"Christopher Felix","option_2","category_5",20,0.29
"Christopher Felix","option_3","category_1",85,0.19
"Christopher Felix","option_3","category_2",85,0.01
"Christopher Felix","option_3","category_3",85,0.2
"Christopher Felix","option_3","category_4",85,0.47
"Christopher Felix","option_3","category_5",85,0.13
"Christopher Felix","option_4","category_1",70,0.02
"Christopher Felix","option_4","category_2",70,0.34
"Christopher Felix","option_4","category_3",70,0.18
"Christopher Felix","option_4","category_4",70,0.09
"Christopher Felix","option_4","category_5",70,0.37
"Mar'Quasa Banks","option_1","category_1",75,0.31
"Mar'Quasa Banks","option_1","category_2",75,0.27
"Mar'Quasa Banks","option_1","category_3",75,0.09
"Mar'Quasa Banks","option_1","category_4",75,0.17
"Mar'Quasa Banks","option_1","category_5",75,0.16
"Mar'Quasa Banks","option_2","category_1",95,0.03
"Mar'Quasa Banks","option_2","category_2",95,0.73
"Mar'Quasa Banks","option_2","category_3",95,0.16
"Mar'Quasa Banks","option_2","category_4",95,0.02
"Mar'Quasa Banks","option_2","category_5",95,0.06
"Mar'Quasa Banks","option_3","category_1",35,0.21
"Mar'Quasa Banks","option_3","category_2",35,0.02
"Mar'Quasa Banks","option_3","category_3",35,0.09
"Mar'Quasa Banks","option_3","category_4",35,0.42
"Mar'Quasa Banks","option_3","category_5",35,0.26
"Mar'Quasa Banks","option_4","category_1",5,0.53
"Mar'Quasa Banks","option_4","category_2",5,0.02
"Mar'Quasa Banks","option_4","category_3",5,0.04
"Mar'Quasa Banks","option_4","category_4",5,0.4
"Mar'Quasa Banks","option_4","category_5",5,0.01
"Mastoora al-Abdalla","option_1","category_1",100,0.55
"Mastoora al-Abdalla","option_1","category_2",100,0.03
"Mastoora al-Abdalla","option_1","category_3",100,0.01
"Mastoora al-Abdalla","option_1","category_4",100,0.11
"Mastoora al-Abdalla","option_1","category_5",100,0.3
"Mastoora al-Abdalla","option_2","category_1",100,0.01
"Mastoora al-Abdalla","option_2","category_2",100,0.1
"Mastoora al-Abdalla","option_2","category_3",100,0.05
"Mastoora al-Abdalla","option_2","category_4",100,0.16
"Mastoora al-Abdalla","option_2","category_5",100,0.68
"Mastoora al-Abdalla","option_3","category_1",15,0.47
"Mastoora al-Abdalla","option_3","category_2",15,0.04
"Mastoora al-Abdalla","option_3","category_3",15,0
"Mastoora al-Abdalla","option_3","category_4",15,0.06
"Mastoora al-Abdalla","option_3","category_5",15,0.43
"Mastoora al-Abdalla","option_4","category_1",25,0.11
"Mastoora al-Abdalla","option_4","category_2",25,0.19
"Mastoora al-Abdalla","option_4","category_3",25,0.28
"Mastoora al-Abdalla","option_4","category_4",25,0.34
"Mastoora al-Abdalla","option_4","category_5",25,0.08
"Eriberto Munguia","option_1","category_1",80,0.28
"Eriberto Munguia","option_1","category_2",80,0.04
"Eriberto Munguia","option_1","category_3",80,0.1
"Eriberto Munguia","option_1","category_4",80,0.11
"Eriberto Munguia","option_1","category_5",80,0.47
"Eriberto Munguia","option_2","category_1",35,0.12
"Eriberto Munguia","option_2","category_2",35,0.27
"Eriberto Munguia","option_2","category_3",35,0.02
"Eriberto Munguia","option_2","category_4",35,0.4
"Eriberto Munguia","option_2","category_5",35,0.19
"Eriberto Munguia","option_3","category_1",15,0.05
"Eriberto Munguia","option_3","category_2",15,0.02
"Eriberto Munguia","option_3","category_3",15,0.32
"Eriberto Munguia","option_3","category_4",15,0.08
"Eriberto Munguia","option_3","category_5",15,0.53
"Eriberto Munguia","option_4","category_1",5,0.32
"Eriberto Munguia","option_4","category_2",5,0.44
"Eriberto Munguia","option_4","category_3",5,0.13
"Eriberto Munguia","option_4","category_4",5,0.09
"Eriberto Munguia","option_4","category_5",5,0.02
"Paul Bol","option_1","category_1",15,0.34
"Paul Bol","option_1","category_2",15,0.04
"Paul Bol","option_1","category_3",15,0.3
"Paul Bol","option_1","category_4",15,0.03
"Paul Bol","option_1","category_5",15,0.29
"Paul Bol","option_2","category_1",5,0.08
"Paul Bol","option_2","category_2",5,0.09
"Paul Bol","option_2","category_3",5,0.07
"Paul Bol","option_2","category_4",5,0.75
"Paul Bol","option_2","category_5",5,0.01
"Paul Bol","option_3","category_1",55,0.23
"Paul Bol","option_3","category_2",55,0.49
"Paul Bol","option_3","category_3",55,0.02
"Paul Bol","option_3","category_4",55,0.17
"Paul Bol","option_3","category_5",55,0.09
"Paul Bol","option_4","category_1",40,0.12
"Paul Bol","option_4","category_2",40,0.09
"Paul Bol","option_4","category_3",40,0.52
"Paul Bol","option_4","category_4",40,0.09
"Paul Bol","option_4","category_5",40,0.18
