"name","option","category","confidence","estimate"
"Derek Maclellan","option_1","category_1",15,0.08
"Derek Maclellan","option_1","category_2",15,0
"Derek Maclellan","option_1","category_3",15,0.85
"Derek Maclellan","option_1","category_4",15,0.02
"Derek Maclellan","option_1","category_5",15,0.05
"Derek Maclellan","option_2","category_1",35,0.02
"Derek Maclellan","option_2","category_2",35,0.11
"Derek Maclellan","option_2","category_3",35,0.18
"Derek Maclellan","option_2","category_4",35,0.02
"Derek Maclellan","option_2","category_5",35,0.67
"Derek Maclellan","option_3","category_1",10,0.43
"Derek Maclellan","option_3","category_2",10,0.15
"Derek Maclellan","option_3","category_3",10,0.11
"Derek Maclellan","option_3","category_4",10,0.13
"Derek Maclellan","option_3","category_5",10,0.18
"Derek Maclellan","option_4","category_1",55,0.25
"Derek Maclellan","option_4","category_2",55,0.6
"Derek Maclellan","option_4","category_3",55,0.02
"Derek Maclellan","option_4","category_4",55,0.05
"Derek Maclellan","option_4","category_5",55,0.08
"Christopher Felix","option_1","category_1",65,0.17
"Christopher Felix","option_1","category_2",65,0.21
"Christopher Felix","option_1","category_3",65,0.16
"Christopher Felix","option_1","category_4",65,0.01
"Christopher Felix","option_1","category_5",65,0.45
"Christopher Felix","option_2","category_1",80,0.37
"Christopher Felix","option_2","category_2",80,0.06
"Christopher Felix","option_2","category_3",80,0.13
"Christopher Felix","option_2","category_4",80,0.12
"Christopher Felix","option_2","category_5",80,0.32
"Christopher Felix","option_3","category_1",55,0.43
"Christopher Felix","option_3","category_2",55,0.05
"Christopher Felix","option_3","category_3",55,0
"Christopher Felix","option_3","category_4",55,0.3
"Christopher Felix","option_3","category_5",55,0.22
"Christopher Felix","option_4","category_1",40,0.01
"Christopher Felix","option_4","category_2",40,0.29
"Christopher Felix","option_4","category_3",40,0.08
"Christopher Felix","option_4","category_4",40,0.5
"Christopher Felix","option_4","category_5",40,0.12
"Mar'Quasa Banks","option_1","category_1",100,0.13
"Mar'Quasa Banks","option_1","category_2",100,0.01
"Mar'Quasa Banks","option_1","category_3",100,0.58
"Mar'Quasa Banks","option_1","category_4",100,0.24
"Mar'Quasa Banks","option_1","category_5",100,0.04
"Mar'Quasa Banks","option_2","category_1",85,0.18
"Mar'Quasa Banks","option_2","category_2",85,0.15
"Mar'Quasa Banks","option_2","category_3",85,0.27
"Mar'Quasa Banks","option_2","category_4",85,0.23
"Mar'Quasa Banks","option_2","category_5",85,0.17
